route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,ct_cardinal_direction
120,MCOB-DO:111:6:Sunday:1:25MAR:1234567,13132713__MCOB-DO:111:6:Sunday:1:25MAR:31004:1234567,"Lynnwood City Center Station",0,MCOB-DO:111:6:Sunday:1:25MAR:31004:1234567,120:126,1,1,W
120,MCOB-DO:111:6:Sunday:1:25MAR:1234567,13132714__MCOB-DO:111:6:Sunday:1:25MAR:31004:1234567,"UW Bothell/Cascadia College",1,MCOB-DO:111:6:Sunday:1:25MAR:31004:1234567,120:124,1,1,E
240,MCOB-DO:111:6:Sunday:1:25MAR:1234567,13132715__MCOB-DO:111:6:Sunday:1:25MAR:31002:1234567,"Stanwood",0,MCOB-DO:111:6:Sunday:1:25MAR:31002:1234567,240:60,1,1,W
220,MCOB-DO:111:6:Sunday:1:25MAR:1234567,13132716__MCOB-DO:111:6:Sunday:1:25MAR:31003:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25MAR:31003:1234567,220:47,1,1,W
220,MCOB-DO:111:6:Sunday:1:25MAR:1234567,13132717__MCOB-DO:111:6:Sunday:1:25MAR:31003:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25MAR:31003:1234567,220:47,1,1,W
220,MCOB-DO:111:6:Sunday:1:25MAR:1234567,13132718__MCOB-DO:111:6:Sunday:1:25MAR:31002:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25MAR:31002:1234567,220:47,1,1,W
220,MCOB-DO:111:6:Sunday:1:25MAR:1234567,13132719__MCOB-DO:111:6:Sunday:1:25MAR:31001:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25MAR:31001:1234567,220:47,1,1,W
220,MCOB-DO:111:6:Sunday:1:25MAR:1234567,13132720__MCOB-DO:111:6:Sunday:1:25MAR:31003:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25MAR:31003:1234567,220:47,1,1,W
220,MCOB-DO:111:6:Sunday:1:25MAR:1234567,13132721__MCOB-DO:111:6:Sunday:1:25MAR:31003:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25MAR:31003:1234567,220:47,1,1,W
220,MCOB-DO:111:6:Sunday:1:25MAR:1234567,13132722__MCOB-DO:111:6:Sunday:1:25MAR:31002:1234567,"Smokey Point",0,MCOB-DO:111:6:Sunday:1:25MAR:31002:1234567,220:47,1,1,W
